Terminal,E10 ULP,ULP,PULP,Hi Octane 98,,ULSD,PULSD
Sydney,2.6514,2.6206,2.2851,2.8123,,3.3391,2.6950
Melbourne,1.9732,1.9950,2.0692,2.1681,,2.6602,2.6844
Birkenhead,,2.0007,2.0442,2.1457,,2.6648,2.6769
Gladstone,,2.7238,2.7852,,,3.6044,
Mackay,2.0020,2.7583,2.0922,,,3.6380,
Newcastle,1.9851,1.9868,2.0804,,,2.6590,2.6678
Brisbane,1.8828,1.8568,2.0172,2.0665,,2.5941,
Sydney,2.6265,2.5930,2.2480,2.7845,,3.3499,2.7552
Melbourne,1.9353,1.9532,2.0263,2.1249,,2.6403,2.6645
Birkenhead,,1.9588,2.0013,2.1023,,2.6448,2.6569
Gladstone,,2.7027,2.7635,,,3.5967,
Mackay,1.9638,2.7372,2.0490,,,3.6302,
Newcastle,1.9472,1.9450,2.0375,,,2.6392,2.6480
Brisbane,1.8503,1.8243,1.9605,2.0094,,2.4648,
Sydney,1.8891,1.8641,,2.0616,,2.5453,
Gladstone,,2.3175,2.3854,,,2.9877,
Newcastle,1.9094,1.9032,1.9933,,,2.5670,
Brisbane,1.8511,1.8251,1.9605,2.0093,,2.4216,
Sydney,1.7819,1.7791,,1.9544,,2.4167,
Gladstone,,2.2103,2.2780,,,2.8368,
Newcastle,1.8022,1.7964,1.8862,,,2.4383,
Brisbane,1.8138,1.7878,1.9259,1.9745,,2.2553,
Sydney,1.7543,1.7486,,1.9236,,2.2543,
Gladstone,,1.8618,1.9357,,,2.3630,
Newcastle,1.7745,1.7657,1.8558,,,2.2759,
Brisbane,1.8038,1.7779,1.9110,1.9595,,2.0786,
Sydney,1.7332,1.7254,,1.8993,,2.1460,
Gladstone,,1.8383,1.9113,,,2.2541,
Newcastle,1.7534,1.7426,1.8315,,,2.1677,
Brisbane,1.8041,1.7782,1.9103,1.9588,,2.1567,
Sydney,1.7370,1.7292,1.9366,1.9038,,2.1330,2.2628
Melbourne,1.7667,1.7538,1.8242,1.9216,,2.1316,2.1558
Birkenhead,,1.7593,1.8214,1.9210,,2.1373,2.1494
Gladstone,,1.8420,1.9157,,,2.2409,
Mackay,1.7766,1.7888,1.8679,,,2.1799,
Newcastle,1.7574,1.7465,1.8361,,,2.1546,2.1634
Brisbane,1.8123,1.7863,1.9199,1.9684,,2.1564,
Sydney,1.7437,1.7370,1.9447,1.9120,,2.1330,2.2628
Melbourne,1.7735,1.7615,1.8324,1.9297,,2.1316,2.1558
Birkenhead,,1.7670,1.8294,1.9292,,2.1373,2.1494
Gladstone,,1.8497,1.9237,,,2.2408,
Mackay,1.7835,1.7965,1.8761,,,2.1798,
Newcastle,1.7641,1.7542,1.8443,,,2.1546,2.1634
Brisbane,1.8243,1.7983,1.9380,1.9865,,2.1616,
Sydney,1.7584,1.7532,1.9609,1.9282,,2.1412,2.2710
Melbourne,1.7882,1.7776,1.8486,1.9459,,2.1398,2.1640
Birkenhead,,1.7832,1.8456,1.9454,,2.1456,2.1577
Gladstone,,1.8659,1.9400,,,2.2490,
Mackay,1.7983,1.8128,1.8923,,,2.1880,
Newcastle,1.7786,1.7705,1.8604,,,2.1628,2.1716
Brisbane,1.8305,1.8045,1.9426,1.9911,,2.2017,
Sydney,1.7590,1.7662,1.9734,1.9406,,2.1678,2.2976
Melbourne,1.7888,1.7908,1.8611,1.9584,,2.1666,2.1908
Birkenhead,,1.7964,1.8582,1.9579,,2.1722,2.1843
Gladstone,,1.8792,1.9527,,,2.2759,
Mackay,1.8109,1.8260,1.9050,,,2.2149,
Newcastle,1.7793,1.7834,1.8730,,,2.1894,2.1982
Brisbane,1.8447,1.8188,1.9543,2.0028,,2.22317,
Sydney,1.7662,1.7744,1.9814,1.9484,,2.1700,2.2998
Melbourne,1.7960,1.7991,1.8691,1.9663,,2.1688,2.1930
Birkenhead,,1.8046,1.8662,1.9659,,2.1744,2.1865
Gladstone,,1.8875,1.9609,,,2.2781,
Mackay,1.8181,1.8344,1.9131,,,2.2171,
Newcastle,1.7864,1.7916,1.8809,,,2.1915,2.2003
Brisbane,1.8786,1.8526,1.9842,2.0328,,2.2240,
Sydney,1.7742,1.7840,1.9745,1.9434,,2.1858,2.3156
Melbourne,1.7933,1.7969,1.8620,1.9370,,2.1848,2.2090
Birkenhead,,1.8110,1.8624,1.9417,,2.1903,2.2024
Gladstone,,1.8845,1.9646,,,2.2941,
Mackay,1.8148,1.8314,1.9169,,,2.2331,
Newcastle,1.7943,1.8011,1.8741,,,2.2075,2.2163
